School Name,State,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Adelphi University,NY,Northeastern,"$40,600.00 ","$79,200.00 ","$44,200.00 ","$54,800.00 ","$114,000.00 ","$160,000.00 "
"American University, Washington D.C.",DC,Southern,"$45,300.00 ","$90,800.00 ","$45,200.00 ","$62,400.00 ","$134,000.00 ","$169,000.00 "
Amherst College,MA,Northeastern,"$54,500.00 ","$107,000.00 ",N/A,"$84,900.00 ","$162,000.00 ",N/A
Appalachian State University,NC,Southern,"$40,400.00 ","$69,100.00 ","$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 "
Arizona State University ,AZ,Western,"$47,400.00 ","$84,100.00 ","$44,600.00 ","$60,700.00 ","$114,000.00 ","$163,000.00 "
Arkansas State University,AR,Southern,"$38,700.00 ","$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 "
Auburn University,AL,Southern,"$45,400.00 ","$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 "
Austin Peay State University,TN,Southern,"$37,700.00 ","$59,200.00 ","$32,200.00 ","$40,500.00 ","$73,900.00 ","$96,200.00 "
Ball State University ,IN,Midwestern,"$39,100.00 ","$64,500.00 ","$35,500.00 ","$48,200.00 ","$89,300.00 ","$128,000.00 "
Bates College,ME,Northeastern,"$47,300.00 ","$96,500.00 ",N/A,"$60,700.00 ","$162,000.00 ",N/A
Baylor University,TN,Southern,"$48,300.00 ","$88,600.00 ","$46,300.00 ","$60,700.00 ","$130,000.00 ","$200,000.00 "
Binghamton University,NY,Northeastern,"$53,600.00 ","$95,900.00 ","$50,900.00 ","$71,200.00 ","$146,000.00 ","$201,000.00 "
Black Hills State University,SD,Midwestern,"$35,300.00 ","$43,900.00 ",N/A,"$32,200.00 ","$60,900.00 ",N/A
Boise State University ,ID,Western,"$40,800.00 ","$69,500.00 ","$37,400.00 ","$48,700.00 ","$87,500.00 ","$110,000.00 "
Boston College,MA,Northeastern,"$52,700.00 ","$103,000.00 ","$48,900.00 ","$70,000.00 ","$143,000.00 ","$195,000.00 "
Boston University,MA,Northeastern,"$49,000.00 ","$93,900.00 ","$48,000.00 ","$64,900.00 ","$130,000.00 ","$193,000.00 "
Bowdoin College,ME,Northeastern,"$48,100.00 ","$107,000.00 ",N/A,"$74,600.00 ","$146,000.00 ",N/A
Bowling Green State University,OH,Midwestern,"$39,800.00 ","$72,100.00 ","$38,200.00 ","$51,800.00 ","$101,000.00 ","$146,000.00 "
Bradley University,IL,Midwestern,"$47,000.00 ","$87,300.00 ","$45,900.00 ","$64,900.00 ","$113,000.00 ","$151,000.00 "
Brigham Young University ,ID,Western,"$49,400.00 ","$88,600.00 ","$50,600.00 ","$68,500.00 ","$119,000.00 ","$164,000.00 "
Brown University,RI,Northeastern,"$56,200.00 ","$109,000.00 ","$55,400.00 ","$74,400.00 ","$159,000.00 ","$228,000.00 "
Bucknell University,PA,Northeastern,"$54,100.00 ","$110,000.00 ","$62,800.00 ","$80,600.00 ","$156,000.00 ","$251,000.00 "
Cal Poly San Luis Obispo,CA,California,"$57,200.00 ","$101,000.00 ","$55,000.00 ","$74,700.00 ","$133,000.00 ","$178,000.00 "
California Institute of Technology,CA,California,"$75,500.00 ","$123,000.00 ",N/A,"$104,000.00 ","$161,000.00 ",N/A
California State University-Chico,CA,California,"$47,400.00 ","$88,100.00 ","$46,800.00 ","$62,800.00 ","$122,000.00 ","$154,000.00 "
California State University-Stanislaus,CA,California,"$38,000.00 ","$71,400.00 ",N/A,"$50,500.00 ","$94,100.00 ",N/A
California State University-Dominguez Hills ,CA,California,"$42,700.00 ","$72,100.00 ","$30,800.00 ","$47,000.00 ","$92,200.00 ","$132,000.00 "
California State University-East Bay ,CA,California,"$49,200.00 ","$84,300.00 ","$46,000.00 ","$62,400.00 ","$115,000.00 ","$155,000.00 "
California State University-Fullerton ,CA,California,"$45,700.00 ","$87,000.00 ","$45,400.00 ","$62,500.00 ","$119,000.00 ","$158,000.00 "
California State University-Long Beach ,CA,California,"$45,100.00 ","$84,700.00 ","$47,400.00 ","$62,500.00 ","$113,000.00 ","$154,000.00 "
California State University-Northridge ,CA,California,"$45,500.00 ","$80,400.00 ","$44,500.00 ","$57,800.00 ","$108,000.00 ","$153,000.00 "
California State University-Sacramento ,CA,California,"$47,800.00 ","$82,400.00 ","$42,900.00 ","$59,600.00 ","$111,000.00 ","$154,000.00 "
Carleton College,MN,Midwestern,"$47,500.00 ","$103,000.00 ",N/A,"$69,400.00 ","$141,000.00 ",N/A
Carnegie Mellon University,PA,Northeastern,"$61,800.00 ","$111,000.00 ","$63,300.00 ","$80,100.00 ","$150,000.00 ","$209,000.00 "
Case Western Reserve University,OH,Midwestern,"$56,200.00 ","$96,500.00 ","$54,900.00 ","$76,500.00 ","$123,000.00 ","$168,000.00 "
Clemson University,SC,Southern,"$48,400.00 ","$86,000.00 ","$50,500.00 ","$61,800.00 ","$111,000.00 ","$150,000.00 "
Cleveland State University,OH,Midwestern,"$43,500.00 ","$73,100.00 ","$39,500.00 ","$51,600.00 ","$97,000.00 ","$137,000.00 "
Colby College,ME,Northeastern,"$46,400.00 ","$85,800.00 ",N/A,"$63,500.00 ","$129,000.00 ",N/A
Colgate University,NY,Northeastern,"$52,800.00 ","$108,000.00 ","$60,000.00 ","$76,700.00 ","$167,000.00 ","$265,000.00 "
College of the Holy Cross,MA,Northeastern,"$50,200.00 ","$106,000.00 ",N/A,"$65,600.00 ","$143,000.00 ",N/A
Colorado College,CO,Western,"$38,500.00 ","$81,400.00 ",N/A,"$43,000.00 ","$148,000.00 ",N/A
Colorado School of Mines,CO,Western,"$58,100.00 ","$106,000.00 ","$62,200.00 ","$87,900.00 ","$142,000.00 ","$201,000.00 "
Colorado State University ,CO,Western,"$44,800.00 ","$79,000.00 ","$43,800.00 ","$57,100.00 ","$112,000.00 ","$150,000.00 "
Columbia University,NY,Northeastern,"$59,400.00 ","$107,000.00 ","$50,300.00 ","$71,900.00 ","$161,000.00 ","$241,000.00 "
Cooper Union,NY,Northeastern,"$62,200.00 ","$114,000.00 ",N/A,"$80,200.00 ","$142,000.00 ",N/A
Cornell University,NY,Northeastern,"$60,300.00 ","$110,000.00 ","$56,800.00 ","$79,800.00 ","$160,000.00 ","$210,000.00 "
Dallas Baptist University,TN,Southern,"$39,400.00 ","$60,200.00 ","$38,500.00 ","$50,300.00 ","$81,800.00 ","$98,100.00 "
Dartmouth College,NH,Northeastern,"$58,000.00 ","$134,000.00 ","$63,100.00 ","$90,200.00 ","$234,000.00 ","$321,000.00 "
Davenport University,MI,Midwestern,"$39,700.00 ","$46,600.00 ","$31,600.00 ","$38,100.00 ","$65,600.00 ","$85,700.00 "
Davidson College,NC,Southern,"$46,100.00 ","$104,000.00 ",N/A,"$70,500.00 ","$146,000.00 ",N/A
Denison University,OH,Midwestern,"$42,000.00 ","$83,500.00 ",N/A,"$62,100.00 ","$122,000.00 ",N/A
DePaul University,IL,Midwestern,"$46,400.00 ","$84,800.00 ","$50,300.00 ","$63,900.00 ","$115,000.00 ","$160,000.00 "
DePauw University,IL,Western,"$41,400.00 ","$88,200.00 ","$49,500.00 ","$57,400.00 ","$133,000.00 ","$185,000.00 "
Dowling College,NY,Northeastern,"$41,100.00 ","$82,800.00 ","$46,500.00 ","$60,600.00 ","$117,000.00 ","$142,000.00 "
Drexel University,PA,Northeastern,"$53,400.00 ","$93,500.00 ","$54,900.00 ","$72,500.00 ","$122,000.00 ","$161,000.00 "
Duke University,NC,Southern,"$58,900.00 ","$106,000.00 ","$56,000.00 ","$77,400.00 ","$149,000.00 ","$218,000.00 "
Duquesne University,PA,Northeastern,"$40,700.00 ","$84,400.00 ","$42,600.00 ","$59,500.00 ","$107,000.00 ","$131,000.00 "
East Carolina University ,NC,Southern,"$40,200.00 ","$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 "
Eastern Michigan University,MI,Midwestern,"$40,300.00 ","$72,100.00 ","$37,900.00 ","$52,800.00 ","$95,400.00 ","$135,000.00 "
Eastern Washington University,WA,Western,"$38,600.00 ","$70,900.00 ","$36,000.00 ","$50,500.00 ","$93,100.00 ","$117,000.00 "
Emory University,GA,Southern,"$52,000.00 ","$91,600.00 ","$52,500.00 ","$63,300.00 ","$128,000.00 ","$192,000.00 "
Evergreen State College,WA,Western,"$39,500.00 ","$63,900.00 ","$38,800.00 ","$47,200.00 ","$91,600.00 ","$120,000.00 "
Fairleigh Dickinson University,NJ,Northeastern,"$45,700.00 ","$78,700.00 ","$40,200.00 ","$56,300.00 ","$112,000.00 ","$171,000.00 "
Fashion Institute of Technology,NY,Northeastern,"$42,800.00 ","$81,000.00 ","$38,800.00 ","$60,500.00 ","$106,000.00 ","$138,000.00 "
Fitchburg State College,MA,Northeastern,"$42,400.00 ","$72,600.00 ","$43,300.00 ","$56,100.00 ","$99,600.00 ","$151,000.00 "
Florida Atlantic University ,FL,Southern,"$42,600.00 ","$71,100.00 ","$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 "
Florida International University ,FL,Southern,"$43,200.00 ","$75,500.00 ","$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 "
Florida Metropolitan University ,FL,Southern,"$36,600.00 ","$51,000.00 ","$32,800.00 ","$36,800.00 ","$70,400.00 ","$102,000.00 "
Florida State University ,FL,Southern,"$42,100.00 ","$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
Fordham University,NY,Northeastern,"$47,800.00 ","$99,900.00 ","$48,600.00 ","$65,900.00 ","$142,000.00 ","$198,000.00 "
Fort Lewis College,CO,Western,"$42,000.00 ","$69,800.00 ",N/A,"$55,000.00 ","$94,000.00 ",N/A
Franklin and Marshall College,PA,Northeastern,"$49,100.00 ","$92,800.00 ",N/A,"$55,800.00 ","$185,000.00 ",N/A
George Mason University,VA,Southern,"$47,800.00 ","$86,900.00 ","$51,300.00 ","$67,200.00 ","$114,000.00 ","$150,000.00 "
George Washington University ,DC,Southern,"$47,000.00 ","$97,900.00 ","$48,400.00 ","$69,600.00 ","$132,000.00 ","$194,000.00 "
Georgetown University,DC,Southern,"$55,000.00 ","$110,000.00 ","$60,300.00 ","$85,800.00 ","$174,000.00 ","$248,000.00 "
Georgia Institute of Technology,GA,Southern,"$58,300.00 ","$106,000.00 ","$67,200.00 ","$85,200.00 ","$137,000.00 ","$183,000.00 "
Georgia State University,GA,Southern,"$41,800.00 ","$74,000.00 ","$43,000.00 ","$55,300.00 ","$99,900.00 ","$145,000.00 "
Gettysburg College,PA,Northeastern,"$44,700.00 ","$85,800.00 ",N/A,"$66,300.00 ","$132,000.00 ",N/A
Gonzaga University,WA,Western,"$44,900.00 ","$76,000.00 ","$47,000.00 ","$57,400.00 ","$103,000.00 ","$138,000.00 "
Grinnell College,IA,Midwestern,"$42,600.00 ","$76,600.00 ",N/A,"$65,100.00 ","$116,000.00 ",N/A
Gustavus Adolphus College,MN,Midwestern,"$44,500.00 ","$80,600.00 ",N/A,"$49,300.00 ","$101,000.00 ",N/A
Hamilton College,NY,Northeastern,"$49,200.00 ","$83,700.00 ",N/A,"$51,900.00 ","$123,000.00 ",N/A
Harvard University,MA,Northeastern,"$63,400.00 ","$124,000.00 ","$54,800.00 ","$86,200.00 ","$179,000.00 ","$288,000.00 "
Harvey Mudd College,CA,California,"$71,800.00 ","$122,000.00 ",N/A,"$96,000.00 ","$180,000.00 ",N/A
Hofstra University,NY,Northeastern,"$46,800.00 ","$92,700.00 ","$48,900.00 ","$67,000.00 ","$135,000.00 ","$189,000.00 "
Howard University,DC,Southern,"$46,900.00 ","$81,800.00 ","$43,300.00 ","$60,000.00 ","$109,000.00 ","$138,000.00 "
Humboldt State University,CA,California,"$42,600.00 ","$71,300.00 ","$36,000.00 ","$56,300.00 ","$94,400.00 ","$117,000.00 "
Idaho State University,ID,Western,"$44,900.00 ","$73,400.00 ","$35,400.00 ","$49,600.00 ","$101,000.00 ","$143,000.00 "
Illinois Institute of Technology ,IL,Midwestern,"$56,000.00 ","$97,800.00 ","$56,100.00 ","$77,400.00 ","$121,000.00 ","$165,000.00 "
Illinois State University,IL,Midwestern,"$42,000.00 ","$73,400.00 ","$39,100.00 ","$55,200.00 ","$105,000.00 ","$142,000.00 "
Indiana University-Bloomington,IN,Midwestern,"$46,300.00 ","$84,000.00 ","$43,600.00 ","$60,400.00 ","$119,000.00 ","$178,000.00 "
Indiana Wesleyan University ,IN,Midwestern,"$39,800.00 ","$58,500.00 ","$39,600.00 ","$47,800.00 ","$78,600.00 ","$93,400.00 "
Iowa State University,IA,Midwestern,"$45,400.00 ","$84,600.00 ","$44,400.00 ","$60,000.00 ","$109,000.00 ","$147,000.00 "
Ithaca College,NY,Northeastern,"$42,700.00 ","$87,400.00 ","$50,200.00 ","$62,400.00 ","$128,000.00 ","$174,000.00 "
Jacksonville University,FL,Southern,"$46,700.00 ","$66,200.00 ","$36,700.00 ","$47,200.00 ","$88,500.00 ","$121,000.00 "
Juniata College,PA,Northeastern,"$41,800.00 ","$78,900.00 ",N/A,"$67,200.00 ","$110,000.00 ",N/A
Kansas State University ,KS,Midwestern,"$43,300.00 ","$79,000.00 ","$37,200.00 ","$54,100.00 ","$106,000.00 ","$138,000.00 "
Kent State University,OH,Midwestern,"$38,700.00 ","$62,600.00 ","$36,100.00 ","$45,800.00 ","$87,000.00 ","$124,000.00 "
La Salle University ,PA,Northeastern,"$43,400.00 ","$84,700.00 ","$45,300.00 ","$57,500.00 ","$106,000.00 ","$151,000.00 "
Lafayette College,PA,Northeastern,"$53,900.00 ","$107,000.00 ","$70,600.00 ","$79,300.00 ","$144,000.00 ","$204,000.00 "
Lamar University,TN,Southern,"$46,500.00 ","$79,400.00 ","$38,700.00 ","$51,600.00 ","$114,000.00 ","$158,000.00 "
Lee University ,TN,Southern,"$34,500.00 ","$53,900.00 ",N/A,"$44,500.00 ","$76,800.00 ",N/A
Lehigh University,PA,Northeastern,"$59,200.00 ","$105,000.00 ","$69,500.00 ","$85,000.00 ","$160,000.00 ","$229,000.00 "
LeTourneau University,TN,Southern,"$49,500.00 ","$73,800.00 ","$41,200.00 ","$52,700.00 ","$95,200.00 ","$126,000.00 "
Lewis & Clark College,ID,Western,"$38,900.00 ","$72,600.00 ","$38,200.00 ","$53,400.00 ","$104,000.00 ","$140,000.00 "
Long Island University,NY,Northeastern,"$47,300.00 ","$93,200.00 ","$46,300.00 ","$62,100.00 ","$122,000.00 ","$169,000.00 "
Louisiana State University ,LA,Southern,"$46,900.00 ","$87,800.00 ","$43,700.00 ","$61,300.00 ","$120,000.00 ","$165,000.00 "
Marquette University,WI,Midwestern,"$48,500.00 ","$88,400.00 ","$49,500.00 ","$67,400.00 ","$121,000.00 ","$184,000.00 "
Massachusetts Institute of Technology ,MA,Northeastern,"$72,200.00 ","$126,000.00 ","$76,800.00 ","$99,200.00 ","$168,000.00 ","$220,000.00 "
Mercy College,NY,Northeastern,"$43,700.00 ","$62,600.00 ","$35,600.00 ","$47,300.00 ","$99,000.00 ","$134,000.00 "
Michigan State University ,MI,Midwestern,"$46,300.00 ","$85,300.00 ","$44,200.00 ","$61,500.00 ","$119,000.00 ","$170,000.00 "
Middlebury College,VT,Northeastern,"$47,700.00 ","$94,200.00 ",N/A,"$69,100.00 ","$129,000.00 ",N/A
Minnesota State University- Mankato,MN,Midwestern,"$43,300.00 ","$74,700.00 ","$39,500.00 ","$53,800.00 ","$95,700.00 ","$140,000.00 "
Mississippi College,MS,Southern,"$35,400.00 ","$60,400.00 ",N/A,"$43,900.00 ","$80,400.00 ",N/A
Mississippi State University,MS,Southern,"$44,500.00 ","$79,300.00 ","$43,300.00 ","$58,800.00 ","$108,000.00 ","$151,000.00 "
Missouri State University ,MO,Midwestern,"$36,100.00 ","$69,500.00 ","$33,300.00 ","$46,900.00 ","$102,000.00 ","$134,000.00 "
Montana State University-Billings,MT,Western,"$37,900.00 ","$50,600.00 ",N/A,"$31,800.00 ","$78,500.00 ",N/A
Montana State University-Bozeman,MT,Western,"$46,600.00 ","$77,500.00 ","$40,200.00 ","$58,100.00 ","$111,000.00 ","$151,000.00 "
Moravian College,PA,Northeastern,"$42,500.00 ","$74,400.00 ",N/A,"$56,700.00 ","$94,900.00 ",N/A
Morehead State University,MD,Southern,"$34,800.00 ","$60,600.00 ","$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 "
Mount Holyoke College,MA,Northeastern,"$42,400.00 ","$94,200.00 ",N/A,"$57,100.00 ","$131,000.00 ",N/A
New Mexico Institute of Mining and Technology ,NM,Western,"$51,000.00 ","$93,400.00 ",N/A,"$67,400.00 ","$123,000.00 ",N/A
New Mexico State University,NM,Western,"$44,300.00 ","$79,500.00 ","$37,400.00 ","$53,800.00 ","$102,000.00 ","$131,000.00 "
New York University ,NY,Northeastern,"$50,300.00 ","$95,600.00 ","$47,500.00 ","$65,000.00 ","$142,000.00 ","$216,000.00 "
Niagara University,NY,Northeastern,"$36,900.00 ","$69,700.00 ","$44,000.00 ","$57,000.00 ","$92,000.00 ","$128,000.00 "
North Carolina State University ,NC,Southern,"$47,200.00 ","$83,300.00 ","$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 "
North Dakota State University ,ND,Midwestern,"$45,100.00 ","$77,800.00 ","$39,000.00 ","$55,800.00 ","$100,000.00 ","$123,000.00 "
Northeastern University,MA,Northeastern,"$50,500.00 ","$86,400.00 ","$47,100.00 ","$62,700.00 ","$117,000.00 ","$159,000.00 "
Northern Illinois University ,IL,Midwestern,"$43,600.00 ","$80,800.00 ","$43,900.00 ","$60,200.00 ","$111,000.00 ","$161,000.00 "
Northwestern University,OH,Midwestern,"$52,700.00 ","$95,900.00 ","$51,900.00 ","$69,100.00 ","$144,000.00 ","$205,000.00 "
Oberlin College,OH,Midwestern,"$43,400.00 ","$81,600.00 ",N/A,"$46,400.00 ","$128,000.00 ",N/A
Occidental College,CA,California,"$51,900.00 ","$105,000.00 ",N/A,"$54,800.00 ","$157,000.00 ",N/A
Ohio State University ,OH,Midwestern,"$44,900.00 ","$83,700.00 ","$45,500.00 ","$60,700.00 ","$116,000.00 ","$162,000.00 "
Ohio University,OH,Midwestern,"$42,200.00 ","$73,400.00 ","$36,600.00 ","$52,800.00 ","$106,000.00 ","$150,000.00 "
Oklahoma City University,OK,Southern,"$40,000.00 ","$64,300.00 ",N/A,"$45,400.00 ","$80,600.00 ",N/A
Oklahoma State University,OK,Southern,"$42,800.00 ","$80,700.00 ","$40,100.00 ","$56,500.00 ","$114,000.00 ","$151,000.00 "
Oregon State University ,OR,Western,"$45,100.00 ","$83,300.00 ","$46,900.00 ","$64,000.00 ","$113,000.00 ","$146,000.00 "
Pace University,NY,Northeastern,"$53,200.00 ","$89,700.00 ","$44,200.00 ","$65,400.00 ","$129,000.00 ","$187,000.00 "
Park University,MO,Midwestern,"$44,300.00 ","$64,300.00 ","$37,200.00 ","$45,600.00 ","$86,400.00 ","$113,000.00 "
Penn State - Harrisburg,PA,Northeastern,"$45,700.00 ","$74,000.00 ","$44,000.00 ","$53,100.00 ","$104,000.00 ","$150,000.00 "
Pennsylvania State University ,PA,Northeastern,"$49,900.00 ","$85,700.00 ","$46,300.00 ","$62,000.00 ","$117,000.00 ","$160,000.00 "
Philadelphia University,PA,Northeastern,"$45,100.00 ","$80,300.00 ","$45,800.00 ","$61,900.00 ","$108,000.00 ","$141,000.00 "
Pittsburg State University,PA,Midwestern,"$40,400.00 ","$58,200.00 ","$25,600.00 ","$46,000.00 ","$84,600.00 ","$117,000.00 "
Polytechnic University of New York -Brooklyn,NY,Northeastern,"$62,400.00 ","$114,000.00 ","$66,800.00 ","$94,300.00 ","$143,000.00 ","$190,000.00 "
Pomona College,CA,California,"$48,600.00 ","$101,000.00 ",N/A,"$63,300.00 ","$161,000.00 ",N/A
Portland State University ,OR,Western,"$42,600.00 ","$70,900.00 ","$40,700.00 ","$52,300.00 ","$94,400.00 ","$123,000.00 "
Pratt Institute,NY,Northeastern,"$43,800.00 ","$89,900.00 ","$48,600.00 ","$65,400.00 ","$123,000.00 ","$155,000.00 "
Princeton University,NJ,Northeastern,"$66,500.00 ","$131,000.00 ","$68,900.00 ","$100,000.00 ","$190,000.00 ","$261,000.00 "
Providence College,RI,Northeastern,"$48,000.00 ","$88,600.00 ","$42,800.00 ","$62,900.00 ","$138,000.00 ","$194,000.00 "
Purdue University,IN,Midwestern,"$51,400.00 ","$90,500.00 ","$49,900.00 ","$67,400.00 ","$121,000.00 ","$168,000.00 "
Quinnipiac University,CT,Northeastern,"$43,000.00 ","$76,500.00 ","$47,900.00 ","$57,400.00 ","$117,000.00 ","$155,000.00 "
Randolph-Macon College,VA,Southern,"$42,600.00 ","$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
Reed College,OR,Western,"$40,500.00 ","$81,100.00 ",N/A,"$67,400.00 ","$101,000.00 ",N/A
Regis University,CO,Western,"$48,300.00 ","$73,800.00 ","$41,000.00 ","$55,500.00 ","$94,800.00 ","$117,000.00 "
Rensselaer Polytechnic Institute ,CT,Northeastern,"$61,100.00 ","$110,000.00 ","$71,600.00 ","$85,500.00 ","$140,000.00 ","$182,000.00 "
Rice University,TN,Southern,"$64,000.00 ","$110,000.00 ","$55,900.00 ","$82,100.00 ","$141,000.00 ","$216,000.00 "
Rider University,NJ,Northeastern,"$43,600.00 ","$88,900.00 ","$47,100.00 ","$63,100.00 ","$127,000.00 ","$150,000.00 "
Robert Morris College ,PA,Midwestern,"$38,500.00 ","$68,200.00 ","$37,300.00 ","$47,100.00 ","$95,000.00 ","$128,000.00 "
Rochester Institute of Technology ,NY,Northeastern,"$48,900.00 ","$84,600.00 ","$45,000.00 ","$62,100.00 ","$112,000.00 ","$159,000.00 "
Roger Williams University,RI,Northeastern,"$42,000.00 ","$72,300.00 ","$39,800.00 ","$48,500.00 ","$102,000.00 ","$138,000.00 "
Rutgers University,NJ,Northeastern,"$50,300.00 ","$91,800.00 ","$48,100.00 ","$65,100.00 ","$128,000.00 ","$176,000.00 "
Sacred Heart University,CT,Northeastern,"$46,000.00 ","$75,300.00 ","$39,700.00 ","$54,800.00 ","$105,000.00 ","$150,000.00 "
Saint Leo University,FL,Southern,"$40,900.00 ","$57,800.00 ","$34,400.00 ","$41,800.00 ","$80,600.00 ","$113,000.00 "
San Diego State University ,CA,California,"$46,200.00 ","$85,200.00 ","$45,500.00 ","$61,800.00 ","$116,000.00 ","$158,000.00 "
